
Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,"4,769","4,739","5,423",90.89%,1.12,00:00:26,0.00%,0,$0.00
Taiwan,"1,756","1,757","1,858",94.35%,1.08,00:00:10,0.00%,0,$0.00
Canada,546,546,588,90.31%,1.11,00:00:14,0.00%,0,$0.00
United Kingdom,506,506,558,91.40%,1.10,00:00:27,0.00%,0,$0.00
Japan,382,378,412,88.59%,1.14,00:00:26,0.00%,0,$0.00
Australia,304,304,330,91.52%,1.11,00:00:29,0.00%,0,$0.00
China,286,286,301,78.41%,1.30,00:00:34,0.00%,0,$0.00
Germany,259,257,295,88.81%,1.14,00:00:22,0.00%,0,$0.00
Netherlands,157,157,171,92.40%,1.09,00:00:20,0.00%,0,$0.00
Singapore,129,129,133,93.98%,1.09,00:00:18,0.00%,0,$0.00
France,128,128,139,94.96%,1.07,00:00:10,0.00%,0,$0.00
Italy,99,98,122,89.34%,1.14,00:00:52,0.00%,0,$0.00
Sweden,99,98,119,89.92%,1.11,00:00:20,0.00%,0,$0.00
Spain,94,94,105,94.29%,1.06,00:00:04,0.00%,0,$0.00
Hong Kong,77,77,85,94.12%,1.08,00:00:15,0.00%,0,$0.00
Mexico,70,70,77,89.61%,1.13,00:00:31,0.00%,0,$0.00
Brazil,66,66,86,95.35%,1.05,00:00:14,0.00%,0,$0.00
Philippines,57,56,60,88.33%,1.15,00:00:13,0.00%,0,$0.00
New Zealand,45,45,50,90.00%,1.14,00:00:30,0.00%,0,$0.00
Belgium,44,44,48,95.83%,1.04,00:00:01,0.00%,0,$0.00
Denmark,43,42,47,95.74%,1.04,00:00:05,0.00%,0,$0.00
Malaysia,42,42,43,93.02%,1.07,00:00:29,0.00%,0,$0.00
Norway,41,41,67,89.55%,1.10,00:00:32,0.00%,0,$0.00
Poland,41,41,49,91.84%,1.08,00:00:16,0.00%,0,$0.00
Russia,39,39,40,95.00%,1.05,00:00:02,0.00%,0,$0.00
Austria,35,35,37,89.19%,1.11,00:00:08,0.00%,0,$0.00
Switzerland,35,35,43,93.02%,1.09,00:00:18,0.00%,0,$0.00
Finland,33,33,43,95.35%,1.07,00:00:24,0.00%,0,$0.00
Ireland,28,28,31,90.32%,1.10,00:00:36,0.00%,0,$0.00
South Korea,28,27,30,80.00%,1.20,00:00:48,0.00%,0,$0.00
Chile,22,22,23,91.30%,1.13,00:00:22,0.00%,0,$0.00
Portugal,22,22,23,91.30%,1.09,00:00:02,0.00%,0,$0.00
Thailand,20,20,20,80.00%,1.20,00:00:07,0.00%,0,$0.00
India,19,19,20,95.00%,1.05,00:00:01,0.00%,0,$0.00
Indonesia,18,18,23,78.26%,1.35,00:03:11,0.00%,0,$0.00
Puerto Rico,16,15,20,95.00%,1.15,00:01:30,0.00%,0,$0.00
Israel,15,15,16,87.50%,1.12,00:00:07,0.00%,0,$0.00
Argentina,11,11,11,100.00%,1.00,00:00:00,0.00%,0,$0.00
Czechia,11,11,12,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hungary,11,11,11,100.00%,1.00,00:00:00,0.00%,0,$0.00
Turkey,10,10,12,91.67%,1.08,00:00:05,0.00%,0,$0.00
Vietnam,10,10,10,90.00%,1.10,00:00:06,0.00%,0,$0.00
(not set),10,9,10,90.00%,1.10,00:00:29,0.00%,0,$0.00
Romania,9,8,47,74.47%,1.28,00:03:42,0.00%,0,$0.00
Dominican Republic,8,8,8,75.00%,1.25,00:00:11,0.00%,0,$0.00
Saudi Arabia,8,8,8,75.00%,1.25,00:00:10,0.00%,0,$0.00
United Arab Emirates,7,7,8,100.00%,1.00,00:00:00,0.00%,0,$0.00
Costa Rica,7,7,9,88.89%,1.11,00:00:17,0.00%,0,$0.00
Croatia,7,7,7,85.71%,1.14,00:00:04,0.00%,0,$0.00
Slovenia,7,7,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ukraine,7,6,9,88.89%,1.11,00:00:03,0.00%,0,$0.00
South Africa,7,7,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
Brunei,6,6,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
Guatemala,6,6,7,57.14%,1.43,00:00:49,0.00%,0,$0.00
Guam,6,6,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lithuania,6,6,6,83.33%,1.33,00:00:06,0.00%,0,$0.00
Colombia,5,5,5,80.00%,1.20,00:04:09,0.00%,0,$0.00
